dataset,left_side,right_side,threshold_value,adversarial_min,adversarial_max,adversarial_mean,adversarial_median,adversarial_stddev,advmod_min,advmod_max,advmod_mean,advmod_median,advmod_stddev
fashion_mnist,1.0,7.0,0.1,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972
fashion_mnist,1.0,7.0,0.11,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972
fashion_mnist,1.0,7.0,0.12,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972
fashion_mnist,1.0,7.0,0.13,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972
fashion_mnist,1.0,7.0,0.13999999999999999,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972
fashion_mnist,1.0,7.0,0.14999999999999997,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972
fashion_mnist,1.0,7.0,0.15999999999999998,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972
fashion_mnist,1.0,7.0,0.16999999999999998,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972
fashion_mnist,1.0,7.0,0.17999999999999997,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972
fashion_mnist,1.0,7.0,0.18999999999999995,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972,0.06416764855384827,1.0,0.9707552194595337,1.0,0.16282793879508972
fashion_mnist,2.0,5.0,0.1,0.2602292597293854,1.0,0.9756559133529663,0.9999988079071045,0.1285916119813919,0.9974379539489746,1.0,0.9998067617416382,0.9999996423721313,0.0006046275957487524
fashion_mnist,2.0,5.0,0.11,0.2602292597293854,1.0,0.9756559133529663,0.9999988079071045,0.1285916119813919,0.9979156851768494,1.0,0.9998495578765869,0.9999996423721313,0.00046631164150312543
fashion_mnist,2.0,5.0,0.12,0.2602292597293854,1.0,0.9756559133529663,0.9999988079071045,0.1285916119813919,0.9987887740135193,1.0,0.9999051094055176,0.9999996423721313,0.0002721774217206985
fashion_mnist,2.0,5.0,0.13,0.2602292597293854,1.0,0.9756559133529663,0.9999988079071045,0.1285916119813919,0.9985778331756592,1.0,0.9998992681503296,0.9999996423721313,0.00030178201268427074
fashion_mnist,2.0,5.0,0.13999999999999999,0.2602292597293854,1.0,0.9756559133529663,0.9999988079071045,0.1285916119813919,0.9990899562835693,1.0,0.9999364018440247,0.9999996423721313,0.00018847793398890644
fashion_mnist,2.0,5.0,0.14999999999999997,0.2602292597293854,1.0,0.9756559133529663,0.9999988079071045,0.1285916119813919,0.9990837574005127,1.0,0.999943733215332,0.9999997019767761,0.00017672189278528094
fashion_mnist,2.0,5.0,0.15999999999999998,0.2602292597293854,1.0,0.9756559133529663,0.9999988079071045,0.1285916119813919,0.9992185831069946,1.0,0.9999523162841797,0.9999997019767761,0.0001490221475251019
fashion_mnist,2.0,5.0,0.16999999999999998,0.2602292597293854,1.0,0.9756559133529663,0.9999988079071045,0.1285916119813919,0.9991077780723572,1.0,0.9999532699584961,0.9999997615814209,0.0001606568694114685
fashion_mnist,2.0,5.0,0.17999999999999997,0.2602292597293854,1.0,0.9756559133529663,0.9999988079071045,0.1285916119813919,0.9985961318016052,1.0,0.9999399185180664,0.9999997615814209,0.0002450747706461698
fashion_mnist,2.0,5.0,0.18999999999999995,0.2602292597293854,1.0,0.9756559133529663,0.9999988079071045,0.1285916119813919,0.998490571975708,1.0,0.9999363422393799,0.9999997019767761,0.00026329647516831756
fashion_mnist,3.0,7.0,0.13999999999999999,0.000131960041471757,1.0,0.9360886812210083,1.0,0.24153363704681396,0.000131960041471757,1.0,0.9360886812210083,1.0,0.24153363704681396
fashion_mnist,3.0,7.0,0.14999999999999997,0.000131960041471757,1.0,0.9360886812210083,1.0,0.24153363704681396,0.000131960041471757,1.0,0.9360886812210083,1.0,0.24153363704681396
fashion_mnist,3.0,7.0,0.15999999999999998,0.000131960041471757,1.0,0.9360886812210083,1.0,0.24153363704681396,0.000131960041471757,1.0,0.9360886812210083,1.0,0.24153363704681396
fashion_mnist,3.0,7.0,0.16999999999999998,0.000131960041471757,1.0,0.9360886812210083,1.0,0.24153363704681396,0.000131960041471757,1.0,0.9360886812210083,1.0,0.24153363704681396
fashion_mnist,3.0,7.0,0.17999999999999997,0.000131960041471757,1.0,0.9360886812210083,1.0,0.24153363704681396,0.000131960041471757,1.0,0.9360886812210083,1.0,0.24153363704681396
fashion_mnist,3.0,7.0,0.18999999999999995,0.000131960041471757,1.0,0.9360886812210083,1.0,0.24153363704681396,0.000131960041471757,1.0,0.9360886812210083,1.0,0.24153363704681396
fashion_mnist,4.0,7.0,0.1,0.9999760389328003,1.0,0.9999992847442627,1.0,4.168598024989478e-06,0.9999760389328003,1.0,0.9999992847442627,1.0,4.168598024989478e-06
