dataset,left_side,right_side,threshold_value,adversarial_min,adversarial_max,adversarial_mean,adversarial_median,adversarial_stddev,advmod_min,advmod_max,advmod_mean,advmod_median,advmod_stddev
mnist,2.0,1.0,0.1,0.9908785223960876,0.9999656677246094,0.9987974166870117,0.9995023012161255,0.0019202862167730927,0.9983545541763306,0.9999725818634033,0.999419629573822,0.9995299577713013,0.00038532898179255426
mnist,2.0,1.0,0.11,0.9908785223960876,0.9999656677246094,0.9987974166870117,0.9995023012161255,0.0019202862167730927,0.9982588887214661,0.9999701976776123,0.999381959438324,0.9995022416114807,0.0004073415184393525
mnist,2.0,1.0,0.12,0.9908785223960876,0.9999656677246094,0.9987974166870117,0.9995023012161255,0.0019202862167730927,0.9981315732002258,0.9999692440032959,0.9993552565574646,0.9994773864746094,0.00043149691191501915
mnist,2.0,1.0,0.13,0.9908785223960876,0.9999656677246094,0.9987974166870117,0.9995023012161255,0.0019202862167730927,0.9979852437973022,0.9999679327011108,0.9992985725402832,0.9994276762008667,0.0004738516581710428
mnist,2.0,1.0,0.13999999999999999,0.9908785223960876,0.9999656677246094,0.9987974166870117,0.9995023012161255,0.0019202862167730927,0.9979197382926941,0.9999654293060303,0.9992793798446655,0.9993894100189209,0.0004882041539531201
mnist,2.0,1.0,0.14999999999999997,0.9908785223960876,0.9999656677246094,0.9987974166870117,0.9995023012161255,0.0019202862167730927,0.997714638710022,0.9999637603759766,0.9992126226425171,0.9993400573730469,0.0005429274751804769
mnist,2.0,1.0,0.15999999999999998,0.9908785223960876,0.9999656677246094,0.9987974166870117,0.9995023012161255,0.0019202862167730927,0.9976416826248169,0.9999604225158691,0.9991631507873535,0.9993016719818115,0.0005714112776331604
mnist,2.0,1.0,0.16999999999999998,0.9908785223960876,0.9999656677246094,0.9987974166870117,0.9995023012161255,0.0019202862167730927,0.9974986910820007,0.9999576807022095,0.9990897178649902,0.9992647171020508,0.0006274031475186348
mnist,2.0,1.0,0.17999999999999997,0.9908785223960876,0.9999656677246094,0.9987974166870117,0.9995023012161255,0.0019202862167730927,0.9972232580184937,0.9999548196792603,0.9989835023880005,0.999182403087616,0.0007093046442605555
mnist,2.0,1.0,0.18999999999999995,0.9908785223960876,0.9999656677246094,0.9987974166870117,0.9995023012161255,0.0019202862167730927,0.9971867203712463,0.9999521970748901,0.9989226460456848,0.9991234540939331,0.0007378551526926458
mnist,3.0,1.0,0.1,0.978329598903656,0.9999805688858032,0.998289167881012,0.9997460842132568,0.00421967264264822,0.9955356121063232,0.999981164932251,0.9995211958885193,0.9998034834861755,0.000807815114967525
mnist,3.0,1.0,0.11,0.978329598903656,0.9999805688858032,0.998289167881012,0.9997460842132568,0.00421967264264822,0.9943327903747559,0.9999794960021973,0.9994165897369385,0.9997800588607788,0.0010270705679431558
mnist,3.0,1.0,0.12,0.978329598903656,0.9999805688858032,0.998289167881012,0.9997460842132568,0.00421967264264822,0.9928176403045654,0.9999760389328003,0.9992928504943848,0.999752938747406,0.0012986419023945928
mnist,3.0,1.0,0.13,0.978329598903656,0.9999805688858032,0.998289167881012,0.9997460842132568,0.00421967264264822,0.9922528862953186,0.999974250793457,0.9992371797561646,0.9997435212135315,0.0014027899596840143
mnist,3.0,1.0,0.13999999999999999,0.978329598903656,0.9999805688858032,0.998289167881012,0.9997460842132568,0.00421967264264822,0.9897434115409851,0.9999697208404541,0.9990348815917969,0.9996875524520874,0.0018525606719776988
