dataset,left_side,right_side,min,max,median,stddev
mnist,0.0,1.0,0.21025344100658516,0.25795623885800106,0.21789299457763836,0.2173961828954902,0.003622256895167418
mnist,0.0,2.0,0.17077432080436084,0.34289474875665266,0.20696616421939007,0.20668136651088298,0.006275601946856504
mnist,0.0,3.0,0.27736379756638246,0.3491427663453072,0.2953955641160826,0.2947995685499103,0.00358588947461643
mnist,0.0,4.0,0.1530602833907959,0.40048819978898287,0.23216423785836632,0.2300239117866228,0.018928645767184595
mnist,0.0,5.0,0.17029106018073037,0.44398448524418227,0.2778753621459546,0.27711254667411067,0.008504297489488069
mnist,0.0,6.0,0.19498423115151287,0.26753641059923633,0.23819870597397183,0.23879673048807065,0.008272629216213493
mnist,0.0,7.0,0.12312863613857754,0.27310486084349167,0.18303409923967393,0.18210875683325817,0.006710228297876365
mnist,0.0,8.0,0.10890608288082688,0.3760011477366674,0.25830213240069,0.2577897574010356,0.008930761117750778
mnist,0.0,9.0,0.17719616873897445,0.24578641869421528,0.20968872794162008,0.2095104373628633,0.007855330147340373
mnist,1.0,0.0,0.18058479117679205,0.426965598410678,0.1978237468509932,0.19657938853225007,0.010900040401205088
mnist,1.0,2.0,0.15714655281875367,0.48431397371814855,0.20083610418988604,0.19674256955056366,0.01748357089434336
mnist,1.0,3.0,0.15364510297841963,0.338701012394099,0.18845182405765837,0.18786664090022084,0.009340081311822497
mnist,1.0,4.0,0.14879950786072496,0.40028854293125143,0.16839232012510763,0.16029163556850742,0.022540758648816925
mnist,1.0,5.0,0.13234841407631967,0.22366976541942618,0.20699942541325078,0.21154572607512875,0.009833732492256452
mnist,1.0,6.0,0.16460860672122798,0.4434681937587915,0.20621318887357398,0.20366924875424808,0.0151841798001223
mnist,1.0,7.0,0.13035060942061652,0.32399325885305785,0.24772120631002834,0.24818235374650896,0.005632788447212725
mnist,1.0,8.0,0.1573471977297851,0.34225761053777964,0.2114352106099441,0.20991009098641686,0.01102783057344763
mnist,1.0,9.0,0.19732194027351044,0.40248542195841214,0.24741947058946406,0.2492129455589985,0.014898398989353667
mnist,2.0,0.0,0.13064875441465887,0.23498147061237865,0.20921571083269255,0.2114583967280554,0.009877958905402598
mnist,2.0,1.0,0.10222239307416359,0.18718318546614868,0.16521588665501616,0.1658983509391917,0.0092219243804911
mnist,2.0,3.0,0.15265631287562442,0.32333450493693433,0.17643987090791913,0.17740830425406545,0.008303243421951064
mnist,2.0,4.0,0.1530607892948441,0.28748272243095796,0.19309108865829624,0.19353038704110415,0.007585659258499686
mnist,2.0,5.0,0.17999094885368552,0.28471990382322504,0.20019881324260064,0.20062180523794765,0.005872211255167654
mnist,2.0,6.0,0.11322413131256133,0.2160789042406419,0.20145009596581354,0.2046619778330528,0.009962691924990968
mnist,2.0,7.0,0.1832392061158463,0.4059640656494636,0.21622500882477436,0.21346169347730426,0.012180413067245465
mnist,2.0,8.0,0.15010846813939072,0.386553355595888,0.2105112348571384,0.20842495303920522,0.012775418884636663
mnist,2.0,9.0,0.17656585574567152,0.35747227782300445,0.1982933088245039,0.19803028525906408,0.007764450806986109
mnist,3.0,0.0,0.16512194037936537,0.28844425312925304,0.1878314031561482,0.1878546640980752,0.006680912806262614
mnist,3.0,1.0,0.14941344072047266,0.19781160513071705,0.19157357211918405,0.1932067247560586,0.005526169680833933
mnist,3.0,2.0,0.1209488089614954,0.24727000628690124,0.1970852743090445,0.19721304988194543,0.009227052566973844
mnist,3.0,4.0,0.12047713341417716,0.24529048978651605,0.20637911962688163,0.20685229373118952,0.007864600456829619
mnist,3.0,5.0,0.12478609730812802,0.39571437480330757,0.17981794808072432,0.18101730149137824,0.018510279059080176
mnist,3.0,6.0,0.1324533280076553,0.3848164760913102,0.2057177148473417,0.21098525389268558,0.015474694901548736
mnist,3.0,7.0,0.1180476777386427,0.3312455897981616,0.20068685497793626,0.2012744044973851,0.01112619792843572
mnist,3.0,8.0,0.12270845163647474,0.3201546242013787,0.2207853469358905,0.2206060740555217,0.015413500461509116
mnist,3.0,9.0,0.13354335847738624,0.27478704441126584,0.20470066635950646,0.2031525887877445,0.012049766082016366
mnist,4.0,0.0,0.198497001486637,0.2670893883666018,0.2389400079857778,0.23899919038734524,0.007957730882818245
mnist,4.0,1.0,0.13705417738748493,0.4071180977221795,0.21550077278462793,0.21919800251205374,0.02105632955123901
mnist,4.0,2.0,0.11992462373759881,0.43073460000300895,0.20330035578753233,0.2029202237611351,0.014654992225816241
mnist,4.0,3.0,0.16679913889675277,0.2224627920105949,0.19122933389890995,0.19226503460515088,0.007776736285866701
mnist,4.0,5.0,0.20420799002367887,0.3324081905795761,0.2502341117306774,0.24726153304543308,0.011701704594144461
mnist,4.0,6.0,0.1784144915787099,0.4471562981948007,0.23563822888178693,0.2361651136200561,0.012420084576854597
mnist,4.0,7.0,0.10740403763322053,0.6666616948018791,0.18030079094246343,0.1802791040851355,0.02282639837926484
mnist,4.0,8.0,0.14340510257451733,0.25675478464231516,0.19694928101816275,0.19779322099520136,0.005704113543379704
mnist,4.0,9.0,0.16188631187490707,0.3637652572828746,0.18423486767489655,0.184468580250134,0.011233170220720307
mnist,5.0,0.0,0.13312367901571567,0.37663479581776677,0.20884678979322624,0.2140350141090976,0.018500060161925024
