dataset,left_side,right_side,threshold_value,clean_min,clean_max,clean_mean,clean_median,clean_stddev,modified_clean_min,modified_clean_max,modified_clean_mean,modified_clean_median,modified_clean_stddev
cifar10,0.0,3.0,0.15999999999999998,0.02848653495311737,0.9905851483345032,0.7351580262184143,0.9184620380401611,0.3264518976211548,3.90074092138093e-06,0.004115266725420952,0.0007596092764288187,0.00017379898054059595,0.0010536846239119768
cifar10,0.0,3.0,0.16999999999999998,0.02848653495311737,0.9905851483345032,0.7351580262184143,0.9184620380401611,0.3264518976211548,4.019910647912184e-06,0.004152844659984112,0.0007551549351774156,0.00017784084775485098,0.0010414079297333956
cifar10,0.0,3.0,0.17999999999999997,0.02848653495311737,0.9905851483345032,0.7351580262184143,0.9184620380401611,0.3264518976211548,4.19657726524747e-06,0.004909685347229242,0.0008014705963432789,0.00019639433594420552,0.001166369765996933
cifar10,0.0,3.0,0.18999999999999995,0.02848653495311737,0.9905851483345032,0.7351580262184143,0.9184620380401611,0.3264518976211548,4.108883331355173e-06,0.004804077558219433,0.0008059800020419061,0.00020082654373254627,0.001162967411801219
cifar10,0.0,4.0,0.1,0.07523968070745468,0.9930309653282166,0.8319203853607178,0.8914618492126465,0.19311340153217316,0.5913381576538086,0.8002140522003174,0.6853857636451721,0.690414309501648,0.0456635020673275
cifar10,0.0,4.0,0.11,0.07523968070745468,0.9930309653282166,0.8319203853607178,0.8914618492126465,0.19311340153217316,0.5873410105705261,0.8066199421882629,0.684653103351593,0.6907559633255005,0.047097671777009964
cifar10,0.0,4.0,0.12,0.07523968070745468,0.9930309653282166,0.8319203853607178,0.8914618492126465,0.19311340153217316,0.5866209864616394,0.8185785412788391,0.6896742582321167,0.6961603164672852,0.04867608845233917
cifar10,0.0,4.0,0.13,0.07523968070745468,0.9930309653282166,0.8319203853607178,0.8914618492126465,0.19311340153217316,0.5868552923202515,0.8312217593193054,0.6948758363723755,0.7021414041519165,0.0520465187728405
cifar10,0.0,4.0,0.13999999999999999,0.07523968070745468,0.9930309653282166,0.8319203853607178,0.8914618492126465,0.19311340153217316,0.5901370048522949,0.8433383107185364,0.703277587890625,0.7106159925460815,0.05462835356593132
cifar10,0.0,4.0,0.14999999999999997,0.07523968070745468,0.9930309653282166,0.8319203853607178,0.8914618492126465,0.19311340153217316,0.5914755463600159,0.856708288192749,0.7138845920562744,0.7191331386566162,0.05818222463130951
cifar10,0.0,4.0,0.15999999999999998,0.07523968070745468,0.9930309653282166,0.8319203853607178,0.8914618492126465,0.19311340153217316,0.5963873267173767,0.8720285892486572,0.7288366556167603,0.7365100979804993,0.061220407485961914
cifar10,0.0,4.0,0.16999999999999998,0.07523968070745468,0.9930309653282166,0.8319203853607178,0.8914618492126465,0.19311340153217316,0.5891529321670532,0.8755794763565063,0.7266546487808228,0.7328960299491882,0.06388972699642181
cifar10,0.0,4.0,0.17999999999999997,0.07523968070745468,0.9930309653282166,0.8319203853607178,0.8914618492126465,0.19311340153217316,0.591644823551178,0.8881295323371887,0.7381635308265686,0.7426118850708008,0.06663727760314941
cifar10,0.0,4.0,0.18999999999999995,0.07523968070745468,0.9930309653282166,0.8319203853607178,0.8914618492126465,0.19311340153217316,0.5943071842193604,0.9002197980880737,0.7504771947860718,0.7541693449020386,0.07005055248737335
cifar10,0.0,5.0,0.1,0.041746508330106735,0.9995032548904419,0.8659897446632385,0.9784854054450989,0.24047575891017914,0.0034914431162178516,0.9272321462631226,0.4295341968536377,0.322539746761322,0.32137158513069153
cifar10,0.0,5.0,0.11,0.041746508330106735,0.9995032548904419,0.8659897446632385,0.9784854054450989,0.24047575891017914,0.0032685103360563517,0.9313710927963257,0.4274001121520996,0.3064841628074646,0.3240998089313507
cifar10,0.0,5.0,0.12,0.041746508330106735,0.9995032548904419,0.8659897446632385,0.9784854054450989,0.24047575891017914,0.0037576390895992517,0.9388779401779175,0.4457339644432068,0.33630451560020447,0.32643529772758484
cifar10,0.0,5.0,0.13,0.041746508330106735,0.9995032548904419,0.8659897446632385,0.9784854054450989,0.24047575891017914,0.0030167342629283667,0.943482518196106,0.4382251501083374,0.348571240901947,0.32305967807769775
cifar10,0.0,5.0,0.13999999999999999,0.041746508330106735,0.9995032548904419,0.8659897446632385,0.9784854054450989,0.24047575891017914,0.003001427510753274,0.9504989981651306,0.4660903811454773,0.3966766893863678,0.3240644037723541
cifar10,0.0,5.0,0.14999999999999997,0.041746508330106735,0.9995032548904419,0.8659897446632385,0.9784854054450989,0.24047575891017914,0.002277216874063015,0.9568086862564087,0.46308913826942444,0.3987026810646057,0.3261986970901489
cifar10,0.0,5.0,0.15999999999999998,0.041746508330106735,0.9995032548904419,0.8659897446632385,0.9784854054450989,0.24047575891017914,0.0014916840009391308,0.956460177898407,0.429237425327301,0.3606565594673157,0.33007216453552246
cifar10,0.0,5.0,0.16999999999999998,0.041746508330106735,0.9995032548904419,0.8659897446632385,0.9784854054450989,0.24047575891017914,0.001245244056917727,0.9563534259796143,0.42772912979125977,0.37580275535583496,0.3264279365539551
cifar10,0.0,5.0,0.17999999999999997,0.041746508330106735,0.9995032548904419,0.8659897446632385,0.9784854054450989,0.24047575891017914,0.0012535081477835774,0.9585471153259277,0.45289182662963867,0.4420067071914673,0.3299701511859894
cifar10,0.0,5.0,0.18999999999999995,0.041746508330106735,0.9995032548904419,0.8659897446632385,0.9784854054450989,0.24047575891017914,0.0016460503684356809,0.9678714871406555,0.49468204379081726,0.5103684663772583,0.3264404833316803
cifar10,0.0,6.0,0.1,0.013456937856972218,0.9981260895729065,0.8928623795509338,0.9814684987068176,0.23564667999744415,5.868973289580026e-07,3.0518523999489844e-05,7.122351689758943e-06,3.798210855165962e-06,7.482631644961657e-06
cifar10,0.0,6.0,0.11,0.013456937856972218,0.9981260895729065,0.8928623795509338,0.9814684987068176,0.23564667999744415,6.576198074981221e-07,3.149824988213368e-05,7.553993782494217e-06,4.08879805036122e-06,7.79579295340227e-06
cifar10,0.0,6.0,0.12,0.013456937856972218,0.9981260895729065,0.8928623795509338,0.9814684987068176,0.23564667999744415,7.397866852443258e-07,3.48449575540144e-05,8.499977411702275e-06,4.6100831241346896e-06,8.657370926812291e-06
cifar10,0.0,6.0,0.13,0.013456937856972218,0.9981260895729065,0.8928623795509338,0.9814684987068176,0.23564667999744415,7.920705229480518e-07,3.747678056242876e-05,9.169412805931643e-06,4.968629582435824e-06,9.34317176870536e-06
cifar10,0.0,6.0,0.13999999999999999,0.013456937856972218,0.9981260895729065,0.8928623795509338,0.9814684987068176,0.23564667999744415,7.871997809161257e-07,3.671530066640116e-05,9.37805452849716e-06,5.108400728204288e-06,9.473695172346197e-06
cifar10,0.0,6.0,0.14999999999999997,0.013456937856972218,0.9981260895729065,0.8928623795509338,0.9814684987068176,0.23564667999744415,9.292017466577818e-07,4.3290958274155855e-05,1.1092011845903471e-05,6.143674909253605e-06,1.1083812751166988e-05
cifar10,0.0,6.0,0.15999999999999998,0.013456937856972218,0.9981260895729065,0.8928623795509338,0.9814684987068176,0.23564667999744415,1.076514195119671e-06,4.7287059715017676e-05,1.2260059520485811e-05,6.746695362380706e-06,1.2212733054184355e-05
cifar10,0.0,6.0,0.16999999999999998,0.013456937856972218,0.9981260895729065,0.8928623795509338,0.9814684987068176,0.23564667999744415,1.2474082495828043e-06,5.360448994906619e-05,1.4168616871756967e-05,7.83872565079946e-06,1.4124369045021012e-05
cifar10,0.0,6.0,0.17999999999999997,0.013456937856972218,0.9981260895729065,0.8928623795509338,0.9814684987068176,0.23564667999744415,1.5410320202136063e-06,6.27736808382906e-05,1.6817244613775983e-05,9.117213267018087e-06,1.6646285075694323e-05
cifar10,0.0,6.0,0.18999999999999995,0.013456937856972218,0.9981260895729065,0.8928623795509338,0.9814684987068176,0.23564667999744415,1.5999581819414743e-06,6.424530874937773e-05,1.7466896679252386e-05,9.37037020776188e-06,1.7338252291665412e-05
cifar10,0.0,7.0,0.1,0.33478423953056335,0.9970875382423401,0.8891245722770691,0.9535199403762817,0.14979448914527893,0.3302478492259979,0.6599892973899841,0.47218358516693115,0.43318307399749756,0.10021989047527313
cifar10,0.0,7.0,0.11,0.33478423953056335,0.9970875382423401,0.8891245722770691,0.9535199403762817,0.14979448914527893,0.32633572816848755,0.6595011353492737,0.4690719246864319,0.43142497539520264,0.10087069869041443
