dataset,left_side,right_side,threshold_value,adversarial_min,adversarial_max,adversarial_mean,adversarial_median,adversarial_stddev,advmod_min,advmod_max,advmod_mean,advmod_median,advmod_stddev
cifar10,0.0,4.0,0.1,0.014065650291740894,0.9844177961349487,0.612881064414978,0.6035884618759155,0.22909286618232727,0.6489323973655701,0.8126996755599976,0.7427254915237427,0.741818368434906,0.04637545719742775
cifar10,0.0,4.0,0.11,0.014065650291740894,0.9844177961349487,0.612881064414978,0.6035884618759155,0.22909286618232727,0.6424926519393921,0.8149073123931885,0.7406964898109436,0.742327094078064,0.0474030040204525
cifar10,0.0,4.0,0.12,0.014065650291740894,0.9844177961349487,0.612881064414978,0.6035884618759155,0.22909286618232727,0.637246310710907,0.8235303163528442,0.7427551746368408,0.7448289394378662,0.04818185791373253
cifar10,0.0,4.0,0.13,0.014065650291740894,0.9844177961349487,0.612881064414978,0.6035884618759155,0.22909286618232727,0.6392489075660706,0.8378655910491943,0.7473572492599487,0.7507627010345459,0.05068642273545265
cifar10,0.0,4.0,0.13999999999999999,0.014065650291740894,0.9844177961349487,0.612881064414978,0.6035884618759155,0.22909286618232727,0.638177216053009,0.8444128036499023,0.752355694770813,0.754632830619812,0.051894646137952805
cifar10,0.0,4.0,0.14999999999999997,0.014065650291740894,0.9844177961349487,0.612881064414978,0.6035884618759155,0.22909286618232727,0.6402454376220703,0.8579836487770081,0.7606419324874878,0.7689610719680786,0.05393769219517708
cifar10,0.0,4.0,0.15999999999999998,0.014065650291740894,0.9844177961349487,0.612881064414978,0.6035884618759155,0.22909286618232727,0.6457743048667908,0.8740140795707703,0.7715741395950317,0.780116617679596,0.056187525391578674
cifar10,0.0,4.0,0.16999999999999998,0.014065650291740894,0.9844177961349487,0.612881064414978,0.6035884618759155,0.22909286618232727,0.6395927667617798,0.8780727982521057,0.770664393901825,0.7780032157897949,0.05759916454553604
cifar10,0.0,4.0,0.17999999999999997,0.014065650291740894,0.9844177961349487,0.612881064414978,0.6035884618759155,0.22909286618232727,0.6422022581100464,0.8890311121940613,0.7788952589035034,0.7821018695831299,0.05954837426543236
cifar10,0.0,4.0,0.18999999999999995,0.014065650291740894,0.9844177961349487,0.612881064414978,0.6035884618759155,0.22909286618232727,0.6524031758308411,0.8996508121490479,0.7885043025016785,0.792421281337738,0.061025284230709076
cifar10,1.0,2.0,0.1,0.030660398304462433,0.9318404197692871,0.42275190353393555,0.54918372631073,0.2953990399837494,0.7276306748390198,0.9470654129981995,0.8339405059814453,0.8319764137268066,0.04974885284900665
