dataset,left_side,right_side,threshold_value,clean_min,clean_max,clean_mean,clean_median,clean_stddev,modified_clean_min,modified_clean_max,modified_clean_mean,modified_clean_median,modified_clean_stddev
fashion_mnist,0.0,1.0,0.1,0.9819449186325073,1.0,0.9993758797645569,0.9999991059303284,0.003134792437776923,0.00011897455988219008,0.7172688841819763,0.027226125821471214,0.0017767478711903095,0.12427257746458054
fashion_mnist,0.0,1.0,0.11,0.9819449186325073,1.0,0.9993758797645569,0.9999991059303284,0.003134792437776923,2.857469917216804e-05,0.7173252701759338,0.02593872882425785,0.0015964617487043142,0.12435220927000046
fashion_mnist,0.0,1.0,0.12,0.9819449186325073,1.0,0.9993758797645569,0.9999991059303284,0.003134792437776923,2.8149253921583295e-05,0.8689387440681458,0.030788352712988853,0.0014735187869518995,0.15067645907402039
fashion_mnist,0.0,1.0,0.13,0.9819449186325073,1.0,0.9993758797645569,0.9999991059303284,0.003134792437776923,2.288554242113605e-05,0.8746888637542725,0.03074442595243454,0.0015660000499337912,0.15167860686779022
fashion_mnist,0.0,1.0,0.13999999999999999,0.9819449186325073,1.0,0.9993758797645569,0.9999991059303284,0.003134792437776923,1.1586142136366107e-05,0.7473925352096558,0.02607763558626175,0.0014328043907880783,0.12961934506893158
fashion_mnist,0.0,1.0,0.14999999999999997,0.9819449186325073,1.0,0.9993758797645569,0.9999991059303284,0.003134792437776923,6.24552149020019e-06,0.7719794511795044,0.026420656591653824,0.0013203977141529322,0.13398179411888123
fashion_mnist,0.0,1.0,0.15999999999999998,0.9819449186325073,1.0,0.9993758797645569,0.9999991059303284,0.003134792437776923,1.1250773241044953e-05,0.7734544277191162,0.02738559991121292,0.001827140455134213,0.13414521515369415
fashion_mnist,0.0,1.0,0.16999999999999998,0.9819449186325073,1.0,0.9993758797645569,0.9999991059303284,0.003134792437776923,9.847884030023124e-06,0.9496912956237793,0.033484313637018204,0.0021368935704231262,0.16472211480140686
fashion_mnist,0.0,1.0,0.17999999999999997,0.9819449186325073,1.0,0.9993758797645569,0.9999991059303284,0.003134792437776923,1.1873174116772134e-05,0.9746787548065186,0.0365067720413208,0.0027939544524997473,0.16898667812347412
fashion_mnist,0.0,1.0,0.18999999999999995,0.9819449186325073,1.0,0.9993758797645569,0.9999991059303284,0.003134792437776923,2.5428764274693094e-05,0.9901581406593323,0.04066359996795654,0.004529908299446106,0.17183136940002441
fashion_mnist,0.0,2.0,0.1,0.0008154783281497657,0.9999953508377075,0.8941689729690552,0.9994596838951111,0.2810584306716919,1.904127550078627e-11,1.4878646652505267e-06,2.1948524420167814e-07,5.264118385639449e-08,3.78364973130374e-07
fashion_mnist,0.0,2.0,0.11,0.0008154783281497657,0.9999953508377075,0.8941689729690552,0.9994596838951111,0.2810584306716919,1.6930526425262826e-11,1.3156596878616256e-06,2.0216350549162598e-07,5.124310931137188e-08,3.4219971212223754e-07
fashion_mnist,0.0,2.0,0.12,0.0008154783281497657,0.9999953508377075,0.8941689729690552,0.9994596838951111,0.2810584306716919,1.909550469136878e-11,1.3790215689368779e-06,2.2376661945600063e-07,5.6553453475771676e-08,3.8067091168159095e-07
fashion_mnist,0.0,2.0,0.13,0.0008154783281497657,0.9999953508377075,0.8941689729690552,0.9994596838951111,0.2810584306716919,2.5053311855649518e-11,1.7025456600094913e-06,2.781313810373831e-07,6.314023437425931e-08,4.748375488361489e-07
fashion_mnist,0.0,2.0,0.13999999999999999,0.0008154783281497657,0.9999953508377075,0.8941689729690552,0.9994596838951111,0.2810584306716919,2.8094257822908197e-11,1.9320664250699338e-06,3.409083433325577e-07,7.462911355560209e-08,5.811350547446636e-07
fashion_mnist,0.0,2.0,0.14999999999999997,0.0008154783281497657,0.9999953508377075,0.8941689729690552,0.9994596838951111,0.2810584306716919,3.256145006402811e-11,2.5140050183836138e-06,4.0916796706369496e-07,8.863428035965626e-08,7.125458409973362e-07
fashion_mnist,0.0,2.0,0.15999999999999998,0.0008154783281497657,0.9999953508377075,0.8941689729690552,0.9994596838951111,0.2810584306716919,2.667857428029219e-11,2.3139705263020005e-06,3.7090026694386324e-07,8.11209446283101e-08,6.475460736510286e-07
fashion_mnist,0.0,2.0,0.16999999999999998,0.0008154783281497657,0.9999953508377075,0.8941689729690552,0.9994596838951111,0.2810584306716919,3.023914799116234e-11,2.686420657482813e-06,4.2993139004465775e-07,8.447767640973325e-08,7.565694772893039e-07
fashion_mnist,0.0,2.0,0.17999999999999997,0.0008154783281497657,0.9999953508377075,0.8941689729690552,0.9994596838951111,0.2810584306716919,4.0272878781832944e-11,3.445763923082268e-06,5.419418585006497e-07,1.0294616004102863e-07,9.676508625489078e-07
fashion_mnist,0.0,2.0,0.18999999999999995,0.0008154783281497657,0.9999953508377075,0.8941689729690552,0.9994596838951111,0.2810584306716919,5.253114609971021e-11,4.081747192685725e-06,6.643893470936746e-07,1.2951026917562558e-07,1.180904632747115e-06
fashion_mnist,0.0,3.0,0.1,0.45157116651535034,0.9962371587753296,0.9152387380599976,0.971455454826355,0.1320400834083557,0.0007110802107490599,0.08190411329269409,0.010915525257587433,0.0038051034789532423,0.017064178362488747
fashion_mnist,0.0,3.0,0.11,0.45157116651535034,0.9962371587753296,0.9152387380599976,0.971455454826355,0.1320400834083557,0.0007838689489290118,0.08181446045637131,0.011591902934014797,0.004207216203212738,0.01755022071301937
fashion_mnist,0.0,3.0,0.12,0.45157116651535034,0.9962371587753296,0.9152387380599976,0.971455454826355,0.1320400834083557,0.0009315081988461316,0.08875084668397903,0.014163162559270859,0.004974231123924255,0.021005287766456604
