dataset,left_side,right_side,threshold_value,clean_min,clean_max,clean_mean,clean_median,clean_stddev,modified_clean_min,modified_clean_max,modified_clean_mean,modified_clean_median,modified_clean_stddev
mnist,0.0,1.0,0.1,0.9999628067016602,1.0,0.999997615814209,0.9999997615814209,6.759052212146344e-06,0.08832499384880066,0.9999997615814209,0.8424363732337952,0.997473955154419,0.26904094219207764
mnist,0.0,1.0,0.11,0.9999628067016602,1.0,0.999997615814209,0.9999997615814209,6.759052212146344e-06,0.09313297271728516,0.9999996423721313,0.8473843932151794,0.99765545129776,0.2636244595050812
mnist,0.0,1.0,0.12,0.9999628067016602,1.0,0.999997615814209,0.9999997615814209,6.759052212146344e-06,0.06427863985300064,0.9999996423721313,0.8266911506652832,0.9971678256988525,0.28477317094802856
mnist,0.0,1.0,0.13,0.9999628067016602,1.0,0.999997615814209,0.9999997615814209,6.759052212146344e-06,0.05715451017022133,0.9999996423721313,0.8170745968818665,0.9971242547035217,0.29376742243766785
mnist,0.0,1.0,0.13999999999999999,0.9999628067016602,1.0,0.999997615814209,0.9999997615814209,6.759052212146344e-06,0.05756807327270508,0.9999996423721313,0.8258405923843384,0.9975205659866333,0.28626778721809387
mnist,0.0,1.0,0.14999999999999997,0.9999628067016602,1.0,0.999997615814209,0.9999997615814209,6.759052212146344e-06,0.06590036302804947,0.9999996423721313,0.8334042429924011,0.9978816509246826,0.27932292222976685
mnist,0.0,1.0,0.15999999999999998,0.9999628067016602,1.0,0.999997615814209,0.9999997615814209,6.759052212146344e-06,0.07176567614078522,0.9999995231628418,0.8299770355224609,0.997445285320282,0.28389185667037964
mnist,0.0,1.0,0.16999999999999998,0.9999628067016602,1.0,0.999997615814209,0.9999997615814209,6.759052212146344e-06,0.07523717731237411,0.9999996423721313,0.835412859916687,0.9975012540817261,0.27833616733551025
mnist,0.0,1.0,0.17999999999999997,0.9999628067016602,1.0,0.999997615814209,0.9999997615814209,6.759052212146344e-06,0.034030187875032425,0.9999994039535522,0.7889144420623779,0.9962528944015503,0.320289671421051
mnist,0.0,1.0,0.18999999999999995,0.9999628067016602,1.0,0.999997615814209,0.9999997615814209,6.759052212146344e-06,0.03588069602847099,0.9999995231628418,0.7869769334793091,0.996563732624054,0.3217672109603882
mnist,0.0,2.0,0.1,0.9991797804832458,0.9999994039535522,0.9999066591262817,0.9999825358390808,0.00019718917610589415,7.0076763673560666e-15,1.9765300507401662e-08,1.385335512971153e-09,2.2240062222400603e-11,3.739484721876352e-09
mnist,0.0,2.0,0.11,0.9991797804832458,0.9999994039535522,0.9999066591262817,0.9999825358390808,0.00019718917610589415,8.310115731668694e-15,2.47163605138212e-08,1.7056436263374053e-09,2.4596207015559202e-11,4.676408593695669e-09
mnist,0.0,2.0,0.12,0.9991797804832458,0.9999994039535522,0.9999066591262817,0.9999825358390808,0.00019718917610589415,9.131265046120798e-15,3.08242569246886e-08,2.0899015851227887e-09,2.9931321310350256e-11,5.794213553400596e-09
mnist,0.0,2.0,0.13,0.9991797804832458,0.9999994039535522,0.9999066591262817,0.9999825358390808,0.00019718917610589415,9.303623545392839e-15,3.067704312798014e-08,2.111362196188793e-09,2.8459481299369926e-11,5.815333103953435e-09
mnist,0.0,2.0,0.13999999999999999,0.9991797804832458,0.9999994039535522,0.9999066591262817,0.9999825358390808,0.00019718917610589415,1.1070432629411639e-14,4.367361228219124e-08,2.832712509004409e-09,3.447584578930574e-11,8.155646824548057e-09
mnist,0.0,2.0,0.14999999999999997,0.9991797804832458,0.9999994039535522,0.9999066591262817,0.9999825358390808,0.00019718917610589415,1.3363860731463277e-14,6.198090574116577e-08,3.4234606260952205e-09,4.3755409018242375e-11,1.1058517657147604e-08
mnist,0.0,2.0,0.15999999999999998,0.9991797804832458,0.9999994039535522,0.9999066591262817,0.9999825358390808,0.00019718917610589415,1.5251473654419485e-14,7.734907825351911e-08,4.091643468484563e-09,5.005994577200745e-11,1.3709354540480945e-08
mnist,0.0,2.0,0.16999999999999998,0.9991797804832458,0.9999994039535522,0.9999066591262817,0.9999825358390808,0.00019718917610589415,2.0593329287926093e-14,1.2345621769327408e-07,6.434949462175155e-09,7.074582586419353e-11,2.1840762087776966e-08
mnist,0.0,2.0,0.17999999999999997,0.9991797804832458,0.9999994039535522,0.9999066591262817,0.9999825358390808,0.00019718917610589415,2.0807521897430077e-14,1.3917218666392728e-07,6.8407204345533046e-09,7.766463860914286e-11,2.449588087927168e-08
mnist,0.0,2.0,0.18999999999999995,0.9991797804832458,0.9999994039535522,0.9999066591262817,0.9999825358390808,0.00019718917610589415,2.405180546914687e-14,2.0210306672652223e-07,9.29804677696211e-09,8.600944262360244e-11,3.539423332199476e-08
mnist,0.0,3.0,0.1,0.9819599390029907,0.9984716773033142,0.9933291673660278,0.9945914149284363,0.004641044419258833,0.002052619121968746,0.6467479467391968,0.08502395451068878,0.02456909976899624,0.1354483664035797
